"no","en","ja","example_en","example_ja"
"1","following","次の","Following the AWS documentation will help you set up your services correctly","次のAWSドキュメントに従うことで、サービスを正しく設定できます"
"2","using","使用して","Using AWS services can help you scale your applications easily","AWSサービスを使用することで、アプリケーションを簡単にスケールできます"
"3","data","データ","Data stored in AWS S3 is highly durable and available","AWS S3に格納されたデータは非常に耐久性が高く、利用可能です"
"4","service","サービス","AWS provides a wide range of services to meet various customer needs","AWSは、さまざまな顧客ニーズに対応する幅広いサービスを提供しています"
"5","instance","インスタンス","You can launch an EC2 instance in AWS to run your applications","アプリケーションを実行するために、AWSでEC2インスタンスを起動できます"
"6","access","アクセス","You can control access to your AWS resources using IAM policies","AWSリソースへのアクセスをIAMポリシーを使用して制御できます"
"7","request","リクエスト","You can send a request to AWS API to perform various actions","AWS APIにリクエストを送信して、さまざまなアクションを実行できます"
"8","cluster","クラスタ","AWS Redshift is a managed data warehouse service that uses clusters for storage","AWS Redshiftは、クラスタを使用してストレージを提供するマネージドデータウェアハウスサービスです"
"9","action","アクション","You can perform actions like creating, deleting and modifying AWS resources","AWSリソースの作成、削除、変更などのアクションを実行できます"
"10","version","バージョン","It is important to use the latest version of AWS SDK for better performance and security","AWS SDKの最新バージョンを使用することで、パフォーマンスとセキュリティが向上します"
"11","application","アプリケーション","You can deploy your application on AWS using various services like EC2 and Lambda","あなたはEC2やLambdaのようなさまざまなサービスを使ってAWS上にアプリケーションをデプロイできます"
"12","account","アカウント","You can create multiple AWS accounts to manage different projects and environments","異なるプロジェクトや環境を管理するために複数のAWSアカウントを作成することができます"
"13","console","コンソール","AWS Management Console provides a web-based interface to manage your AWS resources"," AWS管理コンソールは、AWSリソースを管理するためのウェブベースのインターフェースを提供します"
"14","database","データベース","Amazon RDS is a managed relational database service that supports multiple database engines","Amazon RDSは複数のデータベースエンジンをサポートするマネージドリレーショナルデータベースサービスです"
"15","language-specific","言語固有の","AWS SDKs are available in multiple language-specific versions such as Python, Java and JavaScript."," AWS SDKはPython、Java、JavaScriptなどの複数の言語固有のバージョンで利用可能です"
"16","scaling","スケーリング","Auto Scaling helps you maintain application availability and automatically adjusts capacity based on demand","オートスケーリングはアプリケーションの可用性を維持し、需要に応じて容量を自動的に調整します"
"17","parameter","パラメータ","You can pass parameters to your AWS Lambda function using environment variables","環境変数を使ってAWS Lambda関数にパラメータを渡すことができます"
"18","permission","権限","You can use AWS Identity and Access Management (IAM) to define permissions for your users and resources"," AWS Identity and Access Management（IAM）を使用して、ユーザーとリソースの権限を定義できます"
"19","user","ユーザー","You can create and manage users in your AWS account using AWS IAM"," AWS IAMを使用してAWSアカウント内のユーザーを作成および管理できます"
"20","resource","リソース","You can allocate resources to your AWS services according to your needs.","ニーズに応じてAWSサービスにリソースを割り当てることができます。"
"21","configuration","設定","You need to update the configuration of your Amazon RDS instance.","Amazon RDSインスタンスの設定を更新する必要があります。"
"22","common","共通","Amazon S3 is a common storage service used by many AWS customers.","Amazon S3は多くのAWS顧客によって使用される共通のストレージサービスです。"
"23","object","オブジェクト","You can store and retrieve objects in Amazon S3.","Amazon S3でオブジェクトを保存および取得できます。"
"24","specify","指定する","You need to specify the instance type when launching an EC2 instance.","EC2インスタンスを起動する際にインスタンスタイプを指定する必要があります。"
"25","task","タスク","You can run multiple tasks in parallel using AWS Batch.","AWS Batchを使用して複数のタスクを並行して実行できます。"
"26","role","ロール","You can create an IAM role to grant permissions to your AWS resources.","AWSリソースへのアクセス許可を付与するためにIAMロールを作成できます。"
"27","format","形式","The data is stored in JSON format in the S3 bucket.","データはS3バケットにJSON形式で保存されています。"
"28","response","応答","The Lambda function returns an HTTP response with a status code of 200.","Lambda関数は、ステータスコード200のHTTPレスポンスを返します。"
"29","metric","メトリック","Amazon CloudWatch provides various metrics to monitor the performance of your AWS resources.","Amazon CloudWatchは、AWSリソースのパフォーマンスを監視するためのさまざまなメトリックを提供します。"
"30","use","使用する","You can use AWS Identity and Access Management (IAM) to control access to your AWS resources.","AWS Identity and Access Management（IAM）を使用して、AWSリソースへのアクセスを制御できます。"
"31","default","デフォルト","The default setting for the Amazon EC2 instance type is t2.micro.","Amazon EC2インスタンスタイプのデフォルト設定はt2.microです。"
"32","policy","ポリシー","You can create an IAM policy to grant specific permissions to your users.","特定の権限をユーザーに付与するために、IAMポリシーを作成できます。"
"33","command","コマンド","You can use the AWS CLI command to create an Amazon S3 bucket.","AWS CLIコマンドを使用して、Amazon S3バケットを作成できます。"
"34","available","利用可能な","Amazon EC2 provides various instance types that are available for different workloads.","Amazon EC2は、さまざまなワークロードに対応するためのさまざまなインスタンスタイプを提供しています。"
"35","value","値","You need to provide a value for the access key when configuring the AWS CLI.","AWS CLIを設定する際に、アクセスキーの値を提供する必要があります。"
"36","key","キー","The key pair is required to securely access your EC2 instances.","キーペアは、EC2インスタンスに安全にアクセスするために必要です。"
"37","log","ログ","You can view the CloudWatch Logs to monitor your Lambda function.","Lambda関数を監視するには、CloudWatch Logsを表示できます。"
"38","file","ファイル","You can upload a file to an S3 bucket using the AWS Management Console.","AWS管理コンソールを使用して、ファイルをS3バケットにアップロードできます。"
"39","auto","自動","AWS Auto Scaling helps you maintain the desired number of instances.","AWS Auto Scalingは、必要なインスタンス数を維持するのに役立ちます。"
"40","query","クエリ","You can use AWS Athena to run SQL queries on data stored in S3.","S3に格納されたデータに対してSQLクエリを実行するには、AWS Athenaを使用できます。"
"41","list","リスト","You can view the list of available AWS services in the AWS Management Console.","AWSマネジメントコンソールで利用可能なAWSサービスのリストを表示できます。"
"42","backup","バックアップ","You can create a backup of your Amazon RDS database using AWS Backup.","AWSバックアップを使用してAmazon RDSデータベースのバックアップを作成できます。"
"43","type","タイプ","You can choose the instance type for your Amazon EC2 instances based on your requirements.","要件に基づいてAmazon EC2インスタンスのインスタンスタイプを選択できます。"
"44","container","コンテナ","You can use Amazon ECS to manage and deploy Docker containers.","Dockerコンテナを管理およびデプロイするためにAmazon ECSを使用できます。"
"45","function","関数","You can create a Lambda function to process events in your application.","アプリケーション内のイベントを処理するためにLambda関数を作成できます。"
"46","management","管理","AWS provides various management tools to help you monitor and manage your resources.","AWSはリソースを監視および管理するためのさまざまな管理ツールを提供しています。"
"47","error","エラー","You can use Amazon CloudWatch to monitor and troubleshoot errors in your application.","Amazon CloudWatchを使用してアプリケーションのエラーを監視およびトラブルシューティングできます。"
"48","storage","ストレージ","You can use Amazon S3 for scalable and durable storage of your data.","データのスケーラブルで耐久性のあるストレージとしてAmazon S3を使用できます。"
"49","used","使用される","This instance type is used for running web applications.","このインスタンスタイプは、ウェブアプリケーションを実行するために使用されます。"
"50","returned","返される","The query result is returned as a JSON object.","クエリ結果はJSONオブジェクトとして返されます。"
"51","might","かもしれない","You might need to increase the instance size if the performance is not satisfactory.","パフォーマンスが十分でない場合、インスタンスサイズを増やす必要があるかもしれません。"
"52","specific","特定の","You can use tags to organize your resources by specific projects.","タグを使用して、特定のプロジェクトごとにリソースを整理できます。"
"53","configure","設定する","You need to configure the security group to allow incoming traffic on port 80.","セキュリティグループを設定して、ポート80での受信トラフィックを許可する必要があります。"
"54","source","ソース","The source code for the Lambda function is stored in an S3 bucket.","Lambda関数のソースコードはS3バケットに保存されています。"
"55","send","送る","Amazon SNS can send notifications to multiple subscribers at once.","Amazon SNSは一度に複数のサブスクライバーに通知を送ることができます。"
"56","event","イベント","You can use Amazon EventBridge to trigger Lambda functions based on specific events.","特定のイベントに基づいてLambda関数をトリガーするために、Amazon EventBridgeを使用できます。"
"57","server","サーバー","The application is hosted on an AWS server.","アプリケーションはAWSサーバー上にホストされています。"
"58","replication","レプリケーション","Amazon RDS supports multi-AZ replication for high availability.","Amazon RDSは高可用性のためにマルチAZレプリケーションをサポートしています。"
"59","supported","サポートされている","Amazon S3 supports versioning to keep multiple versions of an object.","Amazon S3はオブジェクトの複数バージョンを保持するためのバージョニングをサポートしています。"
"60","perform","実行する","You can perform a backup of your data using AWS Backup.","AWS Backupを使用してデータのバックアップを実行できます。"
"61","security","セキュリティ","AWS provides various security features to protect your data and applications.","AWSはデータやアプリケーションを保護するためのさまざまなセキュリティ機能を提供しています。"
"62","provide","提供する","AWS provides a wide range of services to meet your business needs.","AWSはビジネスニーズに対応する幅広いサービスを提供しています。"
"63","create","作成する","You can create an Amazon EC2 instance using the AWS Management Console.","AWS Management Consoleを使用してAmazon EC2インスタンスを作成できます。"
"64","custom","カスタム","You can create custom Amazon CloudWatch metrics to monitor your application.","アプリケーションを監視するためにカスタムAmazon CloudWatchメトリクスを作成できます。"
"65","operation","操作","You can monitor the status of your AWS operations using CloudWatch.","AWSの操作の状況をCloudWatchを使って監視することができます。"
"66","client","クライアント","The AWS SDK provides a client for interacting with AWS services.","AWS SDKは、AWSサービスとやり取りするためのクライアントを提供します。"
"67","delete","削除","You can delete an Amazon S3 bucket using the AWS Management Console.","AWS Management Consoleを使用して、Amazon S3バケットを削除できます。"
"68","multiple","複数","You can create multiple instances of an Amazon RDS database for load balancing.","負荷分散のために、Amazon RDSデータベースの複数のインスタンスを作成できます。"
"69","manage","管理","AWS provides managed services to help you manage your infrastructure.","AWSは、インフラストラクチャを管理するのに役立つマネージドサービスを提供します。"
"70","support","サポート","AWS provides technical support to help you troubleshoot issues with your AWS resources.","AWSは、AWSリソースの問題をトラブルシューティングするのに役立つ技術サポートを提供します。"
